"candidate","township","count","county"
"Krichevsky, d","Barnstead",0,"BELKNAP COUNTY"
"Moroz, d","Barnstead",0,"BELKNAP COUNTY"
"Patrick, d","Barnstead",2,"BELKNAP COUNTY"
"Sanders, d","Barnstead",251,"BELKNAP COUNTY"
"Sestak, d","Barnstead",0,"BELKNAP COUNTY"
"Sloan, d","Barnstead",0,"BELKNAP COUNTY"
"Steyer, d","Barnstead",43,"BELKNAP COUNTY"
"Thistle, d","Barnstead",0,"BELKNAP COUNTY"
"Torgesen, d","Barnstead",0,"BELKNAP COUNTY"
"Warren, d","Barnstead",68,"BELKNAP COUNTY"
"Wells, d","Barnstead",0,"BELKNAP COUNTY"
"Williamson, d","Barnstead",0,"BELKNAP COUNTY"
"Yang, d","Barnstead",17,"BELKNAP COUNTY"
"Scatter","Barnstead",0,"BELKNAP COUNTY"
"Bennet, d","Belmont",1,"BELKNAP COUNTY"
"Biden, d","Belmont",98,"BELKNAP COUNTY"
"Booker, d","Belmont",1,"BELKNAP COUNTY"
"Boyd, d","Belmont",0,"BELKNAP COUNTY"
"Bullock, d","Belmont",0,"BELKNAP COUNTY"
"Burke, d","Belmont",0,"BELKNAP COUNTY"
"Buttigieg, d","Belmont",282,"BELKNAP COUNTY"
"Castro, d","Belmont",0,"BELKNAP COUNTY"
"De La Fuente, d","Belmont",0,"BELKNAP COUNTY"
"Delaney, d","Belmont",0,"BELKNAP COUNTY"
"Dunlap, d","Belmont",0,"BELKNAP COUNTY"
"Ellinger, d","Belmont",0,"BELKNAP COUNTY"
"Gabbard, d","Belmont",57,"BELKNAP COUNTY"
"Gleiberman, d","Belmont",0,"BELKNAP COUNTY"
"Greenstein, d","Belmont",0,"BELKNAP COUNTY"
"Harris, d","Belmont",0,"BELKNAP COUNTY"
"Hewes, d","Belmont",0,"BELKNAP COUNTY"
"Klobuchar, d","Belmont",192,"BELKNAP COUNTY"
"Koos, d","Belmont",0,"BELKNAP COUNTY"
"Kraus, d","Belmont",0,"BELKNAP COUNTY"
"Krichevsky, d","Belmont",1,"BELKNAP COUNTY"
"Moroz, d","Belmont",0,"BELKNAP COUNTY"
"Patrick, d","Belmont",3,"BELKNAP COUNTY"
"Sanders, d","Belmont",281,"BELKNAP COUNTY"
"Sestak, d","Belmont",0,"BELKNAP COUNTY"
"Sloan, d","Belmont",0,"BELKNAP COUNTY"
"Steyer, d","Belmont",47,"BELKNAP COUNTY"
"Thistle, d","Belmont",0,"BELKNAP COUNTY"
"Torgesen, d","Belmont",0,"BELKNAP COUNTY"
"Warren, d","Belmont",58,"BELKNAP COUNTY"
"Wells, d","Belmont",0,"BELKNAP COUNTY"
"Williamson, d","Belmont",0,"BELKNAP COUNTY"
"Yang, d","Belmont",25,"BELKNAP COUNTY"
"Scatter","Belmont",0,"BELKNAP COUNTY"
"Bennet, d","Center Harbor",0,"BELKNAP COUNTY"
"Biden, d","Center Harbor",26,"BELKNAP COUNTY"
"Booker, d","Center Harbor",0,"BELKNAP COUNTY"
"Boyd, d","Center Harbor",0,"BELKNAP COUNTY"
"Bullock, d","Center Harbor",0,"BELKNAP COUNTY"
"Burke, d","Center Harbor",0,"BELKNAP COUNTY"
"Buttigieg, d","Center Harbor",50,"BELKNAP COUNTY"
"Castro, d","Center Harbor",0,"BELKNAP COUNTY"
"De La Fuente, d","Center Harbor",0,"BELKNAP COUNTY"
"Delaney, d","Center Harbor",0,"BELKNAP COUNTY"
"Dunlap, d","Center Harbor",0,"BELKNAP COUNTY"
"Ellinger, d","Center Harbor",0,"BELKNAP COUNTY"
"Gabbard, d","Center Harbor",4,"BELKNAP COUNTY"
"Gleiberman, d","Center Harbor",0,"BELKNAP COUNTY"
"Greenstein, d","Center Harbor",0,"BELKNAP COUNTY"
"Harris, d","Center Harbor",0,"BELKNAP COUNTY"
"Hewes, d","Center Harbor",0,"BELKNAP COUNTY"
"Klobuchar, d","Center Harbor",64,"BELKNAP COUNTY"
"Koos, d","Center Harbor",0,"BELKNAP COUNTY"
"Kraus, d","Center Harbor",0,"BELKNAP COUNTY"
"Krichevsky, d","Center Harbor",0,"BELKNAP COUNTY"
"Moroz, d","Center Harbor",0,"BELKNAP COUNTY"
"Patrick, d","Center Harbor",2,"BELKNAP COUNTY"
"Sanders, d","Center Harbor",53,"BELKNAP COUNTY"
"Sestak, d","Center Harbor",0,"BELKNAP COUNTY"
"Sloan, d","Center Harbor",0,"BELKNAP COUNTY"
"Steyer, d","Center Harbor",12,"BELKNAP COUNTY"
"Thistle, d","Center Harbor",0,"BELKNAP COUNTY"
"Torgesen, d","Center Harbor",0,"BELKNAP COUNTY"
"Warren, d","Center Harbor",16,"BELKNAP COUNTY"
"Wells, d","Center Harbor",0,"BELKNAP COUNTY"
"Williamson, d","Center Harbor",1,"BELKNAP COUNTY"
"Yang, d","Center Harbor",5,"BELKNAP COUNTY"
"Scatter","Center Harbor",0,"BELKNAP COUNTY"
"Bennet, d","Gilford",4,"BELKNAP COUNTY"
"Biden, d","Gilford",184,"BELKNAP COUNTY"
"Booker, d","Gilford",2,"BELKNAP COUNTY"
"Boyd, d","Gilford",0,"BELKNAP COUNTY"
"Bullock, d","Gilford",1,"BELKNAP COUNTY"
"Burke, d","Gilford",0,"BELKNAP COUNTY"
"Buttigieg, d","Gilford",431,"BELKNAP COUNTY"
"Castro, d","Gilford",0,"BELKNAP COUNTY"
"De La Fuente, d","Gilford",0,"BELKNAP COUNTY"
"Delaney, d","Gilford",0,"BELKNAP COUNTY"
"Dunlap, d","Gilford",0,"BELKNAP COUNTY"
"Ellinger, d","Gilford",0,"BELKNAP COUNTY"
"Gabbard, d","Gilford",58,"BELKNAP COUNTY"
"Gleiberman, d","Gilford",0,"BELKNAP COUNTY"
"Greenstein, d","Gilford",0,"BELKNAP COUNTY"
"Harris, d","Gilford",1,"BELKNAP COUNTY"
"Hewes, d","Gilford",1,"BELKNAP COUNTY"
"Klobuchar, d","Gilford",341,"BELKNAP COUNTY"
"Koos, d","Gilford",0,"BELKNAP COUNTY"
"Kraus, d","Gilford",0,"BELKNAP COUNTY"
"Krichevsky, d","Gilford",1,"BELKNAP COUNTY"
"Moroz, d","Gilford",0,"BELKNAP COUNTY"
"Patrick, d","Gilford",5,"BELKNAP COUNTY"
"Sanders, d","Gilford",331,"BELKNAP COUNTY"
"Sestak, d","Gilford",0,"BELKNAP COUNTY"
"Sloan, d","Gilford",1,"BELKNAP COUNTY"
"Steyer, d","Gilford",76,"BELKNAP COUNTY"
"Thistle, d","Gilford",0,"BELKNAP COUNTY"
"Torgesen, d","Gilford",0,"BELKNAP COUNTY"
"Warren, d","Gilford",111,"BELKNAP COUNTY"
"Wells, d","Gilford",1,"BELKNAP COUNTY"
"Williamson, d","Gilford",1,"BELKNAP COUNTY"
"Yang, d","Gilford",27,"BELKNAP COUNTY"
"Scatter","Gilford",0,"BELKNAP COUNTY"
"Bennet, d","Gilmanton",2,"BELKNAP COUNTY"
"Biden, d","Gilmanton",68,"BELKNAP COUNTY"
"Booker, d","Gilmanton",0,"BELKNAP COUNTY"
"Boyd, d","Gilmanton",0,"BELKNAP COUNTY"
"Bullock, d","Gilmanton",0,"BELKNAP COUNTY"
"Burke, d","Gilmanton",0,"BELKNAP COUNTY"
"Buttigieg, d","Gilmanton",158,"BELKNAP COUNTY"
"Castro, d","Gilmanton",0,"BELKNAP COUNTY"
"De La Fuente, d","Gilmanton",0,"BELKNAP COUNTY"
"Delaney, d","Gilmanton",0,"BELKNAP COUNTY"
"Dunlap, d","Gilmanton",0,"BELKNAP COUNTY"
"Ellinger, d","Gilmanton",0,"BELKNAP COUNTY"
"Gabbard, d","Gilmanton",27,"BELKNAP COUNTY"
"Gleiberman, d","Gilmanton",0,"BELKNAP COUNTY"
"Greenstein, d","Gilmanton",0,"BELKNAP COUNTY"
"Harris, d","Gilmanton",2,"BELKNAP COUNTY"
"Hewes, d","Gilmanton",0,"BELKNAP COUNTY"
"Klobuchar, d","Gilmanton",144,"BELKNAP COUNTY"
"Koos, d","Gilmanton",1,"BELKNAP COUNTY"
"Kraus, d","Gilmanton",0,"BELKNAP COUNTY"
"Krichevsky, d","Gilmanton",0,"BELKNAP COUNTY"
"Moroz, d","Gilmanton",0,"BELKNAP COUNTY"
"Patrick, d","Gilmanton",2,"BELKNAP COUNTY"
"Sanders, d","Gilmanton",209,"BELKNAP COUNTY"
"Sestak, d","Gilmanton",1,"BELKNAP COUNTY"
"Sloan, d","Gilmanton",0,"BELKNAP COUNTY"
"Steyer, d","Gilmanton",27,"BELKNAP COUNTY"
"Thistle, d","Gilmanton",0,"BELKNAP COUNTY"
"Torgesen, d","Gilmanton",1,"BELKNAP COUNTY"
"Warren, d","Gilmanton",56,"BELKNAP COUNTY"
"Wells, d","Gilmanton",0,"BELKNAP COUNTY"
"Williamson, d","Gilmanton",0,"BELKNAP COUNTY"
"Yang, d","Gilmanton",19,"BELKNAP COUNTY"
"Scatter","Gilmanton",0,"BELKNAP COUNTY"
"Bennet, d","Laconia Ward 1",1,"BELKNAP COUNTY"
"Biden, d","Laconia Ward 1",65,"BELKNAP COUNTY"
"Booker, d","Laconia Ward 1",0,"BELKNAP COUNTY"
"Boyd, d","Laconia Ward 1",1,"BELKNAP COUNTY"
"Bullock, d","Laconia Ward 1",0,"BELKNAP COUNTY"
"Burke, d","Laconia Ward 1",1,"BELKNAP COUNTY"
"Buttigieg, d","Laconia Ward 1",150,"BELKNAP COUNTY"
"Castro, d","Laconia Ward 1",0,"BELKNAP COUNTY"
"De La Fuente, d","Laconia Ward 1",0,"BELKNAP COUNTY"
"Delaney, d","Laconia Ward 1",0,"BELKNAP COUNTY"
"Dunlap, d","Laconia Ward 1",0,"BELKNAP COUNTY"
"Ellinger, d","Laconia Ward 1",0,"BELKNAP COUNTY"
"Gabbard, d","Laconia Ward 1",11,"BELKNAP COUNTY"
"Gleiberman, d","Laconia Ward 1",0,"BELKNAP COUNTY"
"Greenstein, d","Laconia Ward 1",0,"BELKNAP COUNTY"
"Harris, d","Laconia Ward 1",0,"BELKNAP COUNTY"
"Hewes, d","Laconia Ward 1",0,"BELKNAP COUNTY"
"Klobuchar, d","Laconia Ward 1",114,"BELKNAP COUNTY"
"Koos, d","Laconia Ward 1",0,"BELKNAP COUNTY"
"Kraus, d","Laconia Ward 1",0,"BELKNAP COUNTY"
"Krichevsky, d","Laconia Ward 1",0,"BELKNAP COUNTY"
"Moroz, d","Laconia Ward 1",0,"BELKNAP COUNTY"
"Patrick, d","Laconia Ward 1",4,"BELKNAP COUNTY"
"Sanders, d","Laconia Ward 1",84,"BELKNAP COUNTY"
"Sestak, d","Laconia Ward 1",1,"BELKNAP COUNTY"
"Sloan, d","Laconia Ward 1",0,"BELKNAP COUNTY"
"Steyer, d","Laconia Ward 1",24,"BELKNAP COUNTY"
"Thistle, d","Laconia Ward 1",0,"BELKNAP COUNTY"
"Torgesen, d","Laconia Ward 1",0,"BELKNAP COUNTY"
"Warren, d","Laconia Ward 1",39,"BELKNAP COUNTY"
"Wells, d","Laconia Ward 1",0,"BELKNAP COUNTY"
"Williamson, d","Laconia Ward 1",0,"BELKNAP COUNTY"
"Yang, d","Laconia Ward 1",10,"BELKNAP COUNTY"
"Scatter","Laconia Ward 1",0,"BELKNAP COUNTY"
"Bennet, d","Laconia Ward 2",3,"BELKNAP COUNTY"
"Biden, d","Laconia Ward 2",41,"BELKNAP COUNTY"
"Booker, d","Laconia Ward 2",1,"BELKNAP COUNTY"
"Boyd, d","Laconia Ward 2",0,"BELKNAP COUNTY"
"Bullock, d","Laconia Ward 2",0,"BELKNAP COUNTY"
"Burke, d","Laconia Ward 2",0,"BELKNAP COUNTY"
"Buttigieg, d","Laconia Ward 2",97,"BELKNAP COUNTY"
"Castro, d","Laconia Ward 2",0,"BELKNAP COUNTY"
"De La Fuente, d","Laconia Ward 2",0,"BELKNAP COUNTY"
"Delaney, d","Laconia Ward 2",0,"BELKNAP COUNTY"
"Dunlap, d","Laconia Ward 2",0,"BELKNAP COUNTY"
"Ellinger, d","Laconia Ward 2",0,"BELKNAP COUNTY"
"Gabbard, d","Laconia Ward 2",15,"BELKNAP COUNTY"
"Gleiberman, d","Laconia Ward 2",0,"BELKNAP COUNTY"
"Greenstein, d","Laconia Ward 2",0,"BELKNAP COUNTY"
"Harris, d","Laconia Ward 2",1,"BELKNAP COUNTY"
"Hewes, d","Laconia Ward 2",0,"BELKNAP COUNTY"
"Klobuchar, d","Laconia Ward 2",87,"BELKNAP COUNTY"
"Koos, d","Laconia Ward 2",0,"BELKNAP COUNTY"
"Kraus, d","Laconia Ward 2",0,"BELKNAP COUNTY"
"Krichevsky, d","Laconia Ward 2",0,"BELKNAP COUNTY"
"Moroz, d","Laconia Ward 2",0,"BELKNAP COUNTY"
"Patrick, d","Laconia Ward 2",1,"BELKNAP COUNTY"
"Sanders, d","Laconia Ward 2",116,"BELKNAP COUNTY"
"Sestak, d","Laconia Ward 2",0,"BELKNAP COUNTY"
"Sloan, d","Laconia Ward 2",0,"BELKNAP COUNTY"
"Steyer, d","Laconia Ward 2",15,"BELKNAP COUNTY"
"Thistle, d","Laconia Ward 2",0,"BELKNAP COUNTY"
"Torgesen, d","Laconia Ward 2",0,"BELKNAP COUNTY"
"Warren, d","Laconia Ward 2",28,"BELKNAP COUNTY"
"Wells, d","Laconia Ward 2",0,"BELKNAP COUNTY"
"Williamson, d","Laconia Ward 2",0,"BELKNAP COUNTY"
"Yang, d","Laconia Ward 2",20,"BELKNAP COUNTY"
"Scatter","Laconia Ward 2",0,"BELKNAP COUNTY"
"Bennet, d","Laconia Ward 3",1,"BELKNAP COUNTY"
"Biden, d","Laconia Ward 3",50,"BELKNAP COUNTY"
"Booker, d","Laconia Ward 3",0,"BELKNAP COUNTY"
"Boyd, d","Laconia Ward 3",0,"BELKNAP COUNTY"
"Bullock, d","Laconia Ward 3",0,"BELKNAP COUNTY"
"Burke, d","Laconia Ward 3",0,"BELKNAP COUNTY"
"Buttigieg, d","Laconia Ward 3",121,"BELKNAP COUNTY"
"Castro, d","Laconia Ward 3",0,"BELKNAP COUNTY"
"De La Fuente, d","Laconia Ward 3",0,"BELKNAP COUNTY"
"Delaney, d","Laconia Ward 3",1,"BELKNAP COUNTY"
"Dunlap, d","Laconia Ward 3",0,"BELKNAP COUNTY"
"Ellinger, d","Laconia Ward 3",0,"BELKNAP COUNTY"
"Gabbard, d","Laconia Ward 3",17,"BELKNAP COUNTY"
"Gleiberman, d","Laconia Ward 3",0,"BELKNAP COUNTY"
"Greenstein, d","Laconia Ward 3",0,"BELKNAP COUNTY"
"Harris, d","Laconia Ward 3",0,"BELKNAP COUNTY"
"Hewes, d","Laconia Ward 3",0,"BELKNAP COUNTY"
"Klobuchar, d","Laconia Ward 3",127,"BELKNAP COUNTY"
"Koos, d","Laconia Ward 3",0,"BELKNAP COUNTY"
"Kraus, d","Laconia Ward 3",0,"BELKNAP COUNTY"
"Krichevsky, d","Laconia Ward 3",0,"BELKNAP COUNTY"
"Moroz, d","Laconia Ward 3",0,"BELKNAP COUNTY"
"Patrick, d","Laconia Ward 3",2,"BELKNAP COUNTY"
"Sanders, d","Laconia Ward 3",104,"BELKNAP COUNTY"
"Sestak, d","Laconia Ward 3",0,"BELKNAP COUNTY"
"Sloan, d","Laconia Ward 3",0,"BELKNAP COUNTY"
"Steyer, d","Laconia Ward 3",21,"BELKNAP COUNTY"
"Thistle, d","Laconia Ward 3",0,"BELKNAP COUNTY"
"Torgesen, d","Laconia Ward 3",0,"BELKNAP COUNTY"
"Warren, d","Laconia Ward 3",52,"BELKNAP COUNTY"
"Wells, d","Laconia Ward 3",0,"BELKNAP COUNTY"
"Williamson, d","Laconia Ward 3",0,"BELKNAP COUNTY"
"Yang, d","Laconia Ward 3",19,"BELKNAP COUNTY"
"Scatter","Laconia Ward 3",0,"BELKNAP COUNTY"
"Bennet, d","Laconia Ward 4",1,"BELKNAP COUNTY"
"Biden, d","Laconia Ward 4",43,"BELKNAP COUNTY"
"Booker, d","Laconia Ward 4",1,"BELKNAP COUNTY"
"Boyd, d","Laconia Ward 4",0,"BELKNAP COUNTY"
"Bullock, d","Laconia Ward 4",0,"BELKNAP COUNTY"
"Burke, d","Laconia Ward 4",1,"BELKNAP COUNTY"
"Buttigieg, d","Laconia Ward 4",108,"BELKNAP COUNTY"
"Castro, d","Laconia Ward 4",0,"BELKNAP COUNTY"
"De La Fuente, d","Laconia Ward 4",0,"BELKNAP COUNTY"
"Delaney, d","Laconia Ward 4",0,"BELKNAP COUNTY"
"Dunlap, d","Laconia Ward 4",0,"BELKNAP COUNTY"
"Ellinger, d","Laconia Ward 4",0,"BELKNAP COUNTY"
"Gabbard, d","Laconia Ward 4",15,"BELKNAP COUNTY"
"Gleiberman, d","Laconia Ward 4",0,"BELKNAP COUNTY"
"Greenstein, d","Laconia Ward 4",0,"BELKNAP COUNTY"
"Harris, d","Laconia Ward 4",0,"BELKNAP COUNTY"
"Hewes, d","Laconia Ward 4",1,"BELKNAP COUNTY"
"Klobuchar, d","Laconia Ward 4",70,"BELKNAP COUNTY"
"Koos, d","Laconia Ward 4",0,"BELKNAP COUNTY"
"Kraus, d","Laconia Ward 4",0,"BELKNAP COUNTY"
"Krichevsky, d","Laconia Ward 4",0,"BELKNAP COUNTY"
"Moroz, d","Laconia Ward 4",0,"BELKNAP COUNTY"
"Patrick, d","Laconia Ward 4",1,"BELKNAP COUNTY"
"Sanders, d","Laconia Ward 4",131,"BELKNAP COUNTY"
"Sestak, d","Laconia Ward 4",0,"BELKNAP COUNTY"
"Sloan, d","Laconia Ward 4",0,"BELKNAP COUNTY"
"Steyer, d","Laconia Ward 4",15,"BELKNAP COUNTY"
"Thistle, d","Laconia Ward 4",0,"BELKNAP COUNTY"
"Torgesen, d","Laconia Ward 4",0,"BELKNAP COUNTY"
"Warren, d","Laconia Ward 4",42,"BELKNAP COUNTY"
"Wells, d","Laconia Ward 4",0,"BELKNAP COUNTY"
"Williamson, d","Laconia Ward 4",0,"BELKNAP COUNTY"
"Yang, d","Laconia Ward 4",9,"BELKNAP COUNTY"
"Scatter","Laconia Ward 4",0,"BELKNAP COUNTY"
"Bennet, d","Laconia Ward 5",2,"BELKNAP COUNTY"
"Biden, d","Laconia Ward 5",17,"BELKNAP COUNTY"
"Booker, d","Laconia Ward 5",0,"BELKNAP COUNTY"
"Boyd, d","Laconia Ward 5",0,"BELKNAP COUNTY"
"Bullock, d","Laconia Ward 5",0,"BELKNAP COUNTY"
"Burke, d","Laconia Ward 5",0,"BELKNAP COUNTY"
"Buttigieg, d","Laconia Ward 5",69,"BELKNAP COUNTY"
"Castro, d","Laconia Ward 5",0,"BELKNAP COUNTY"
"De La Fuente, d","Laconia Ward 5",0,"BELKNAP COUNTY"
"Delaney, d","Laconia Ward 5",0,"BELKNAP COUNTY"
"Dunlap, d","Laconia Ward 5",0,"BELKNAP COUNTY"
"Ellinger, d","Laconia Ward 5",0,"BELKNAP COUNTY"
"Gabbard, d","Laconia Ward 5",10,"BELKNAP COUNTY"
"Gleiberman, d","Laconia Ward 5",0,"BELKNAP COUNTY"
"Greenstein, d","Laconia Ward 5",0,"BELKNAP COUNTY"
"Harris, d","Laconia Ward 5",0,"BELKNAP COUNTY"
"Hewes, d","Laconia Ward 5",0,"BELKNAP COUNTY"
"Klobuchar, d","Laconia Ward 5",49,"BELKNAP COUNTY"
"Koos, d","Laconia Ward 5",0,"BELKNAP COUNTY"
"Kraus, d","Laconia Ward 5",1,"BELKNAP COUNTY"
"Krichevsky, d","Laconia Ward 5",1,"BELKNAP COUNTY"
"Moroz, d","Laconia Ward 5",0,"BELKNAP COUNTY"
"Patrick, d","Laconia Ward 5",2,"BELKNAP COUNTY"
"Sanders, d","Laconia Ward 5",113,"BELKNAP COUNTY"
"Sestak, d","Laconia Ward 5",0,"BELKNAP COUNTY"
"Sloan, d","Laconia Ward 5",0,"BELKNAP COUNTY"
"Steyer, d","Laconia Ward 5",10,"BELKNAP COUNTY"
"Thistle, d","Laconia Ward 5",0,"BELKNAP COUNTY"
"Torgesen, d","Laconia Ward 5",0,"BELKNAP COUNTY"
"Warren, d","Laconia Ward 5",17,"BELKNAP COUNTY"
"Wells, d","Laconia Ward 5",0,"BELKNAP COUNTY"
"Williamson, d","Laconia Ward 5",0,"BELKNAP COUNTY"
"Yang, d","Laconia Ward 5",17,"BELKNAP COUNTY"
"Scatter","Laconia Ward 5",0,"BELKNAP COUNTY"
"Bennet, d","Laconia Ward 6",4,"BELKNAP COUNTY"
"Biden, d","Laconia Ward 6",68,"BELKNAP COUNTY"
"Booker, d","Laconia Ward 6",0,"BELKNAP COUNTY"
"Boyd, d","Laconia Ward 6",0,"BELKNAP COUNTY"
"Bullock, d","Laconia Ward 6",0,"BELKNAP COUNTY"
"Burke, d","Laconia Ward 6",0,"BELKNAP COUNTY"
"Buttigieg, d","Laconia Ward 6",131,"BELKNAP COUNTY"
"Castro, d","Laconia Ward 6",0,"BELKNAP COUNTY"
"De La Fuente, d","Laconia Ward 6",0,"BELKNAP COUNTY"
"Delaney, d","Laconia Ward 6",0,"BELKNAP COUNTY"
"Dunlap, d","Laconia Ward 6",0,"BELKNAP COUNTY"
"Ellinger, d","Laconia Ward 6",0,"BELKNAP COUNTY"
"Gabbard, d","Laconia Ward 6",27,"BELKNAP COUNTY"
"Gleiberman, d","Laconia Ward 6",0,"BELKNAP COUNTY"
"Greenstein, d","Laconia Ward 6",0,"BELKNAP COUNTY"
"Harris, d","Laconia Ward 6",0,"BELKNAP COUNTY"
"Hewes, d","Laconia Ward 6",0,"BELKNAP COUNTY"
"Klobuchar, d","Laconia Ward 6",118,"BELKNAP COUNTY"
"Koos, d","Laconia Ward 6",0,"BELKNAP COUNTY"
"Kraus, d","Laconia Ward 6",1,"BELKNAP COUNTY"
"Krichevsky, d","Laconia Ward 6",0,"BELKNAP COUNTY"
"Moroz, d","Laconia Ward 6",0,"BELKNAP COUNTY"
"Patrick, d","Laconia Ward 6",3,"BELKNAP COUNTY"
"Sanders, d","Laconia Ward 6",105,"BELKNAP COUNTY"
"Sestak, d","Laconia Ward 6",0,"BELKNAP COUNTY"
"Sloan, d","Laconia Ward 6",0,"BELKNAP COUNTY"
"Steyer, d","Laconia Ward 6",22,"BELKNAP COUNTY"
"Thistle, d","Laconia Ward 6",0,"BELKNAP COUNTY"
"Torgesen, d","Laconia Ward 6",0,"BELKNAP COUNTY"
"Warren, d","Laconia Ward 6",29,"BELKNAP COUNTY"
"Wells, d","Laconia Ward 6",0,"BELKNAP COUNTY"
"Williamson, d","Laconia Ward 6",0,"BELKNAP COUNTY"
"Yang, d","Laconia Ward 6",0,"BELKNAP COUNTY"
"Scatter","Laconia Ward 6",0,"BELKNAP COUNTY"
"Bennet, d","Meredith",3,"BELKNAP COUNTY"
"Biden, d","Meredith",146,"BELKNAP COUNTY"
"Booker, d","Meredith",1,"BELKNAP COUNTY"
"Boyd, d","Meredith",0,"BELKNAP COUNTY"
"Bullock, d","Meredith",1,"BELKNAP COUNTY"
"Burke, d","Meredith",0,"BELKNAP COUNTY"
"Buttigieg, d","Meredith",371,"BELKNAP COUNTY"
"Castro, d","Meredith",1,"BELKNAP COUNTY"
"De La Fuente, d","Meredith",0,"BELKNAP COUNTY"
"Delaney, d","Meredith",0,"BELKNAP COUNTY"
"Dunlap, d","Meredith",0,"BELKNAP COUNTY"
"Ellinger, d","Meredith",0,"BELKNAP COUNTY"
"Gabbard, d","Meredith",66,"BELKNAP COUNTY"
"Gleiberman, d","Meredith",1,"BELKNAP COUNTY"
"Greenstein, d","Meredith",0,"BELKNAP COUNTY"
"Harris, d","Meredith",1,"BELKNAP COUNTY"
"Hewes, d","Meredith",0,"BELKNAP COUNTY"
"Klobuchar, d","Meredith",362,"BELKNAP COUNTY"
"Koos, d","Meredith",0,"BELKNAP COUNTY"
"Kraus, d","Meredith",1,"BELKNAP COUNTY"
"Krichevsky, d","Meredith",1,"BELKNAP COUNTY"
"Moroz, d","Meredith",0,"BELKNAP COUNTY"
"Patrick, d","Meredith",3,"BELKNAP COUNTY"
"Sanders, d","Meredith",244,"BELKNAP COUNTY"
"Sestak, d","Meredith",0,"BELKNAP COUNTY"
"Sloan, d","Meredith",1,"BELKNAP COUNTY"
"Steyer, d","Meredith",55,"BELKNAP COUNTY"
"Thistle, d","Meredith",0,"BELKNAP COUNTY"
"Torgesen, d","Meredith",0,"BELKNAP COUNTY"
"Warren, d","Meredith",124,"BELKNAP COUNTY"
"Wells, d","Meredith",0,"BELKNAP COUNTY"
"Williamson, d","Meredith",0,"BELKNAP COUNTY"
